Name,Argentario,Bondone,Centro Storico Piedicastello,Gardolo,Mattarello,Meano,Oltrefesina,Povo,Ravina Romagnano,S. Giusepe – S.Chiara,Sandagna,Villazzano,Total
Abies,0,0,0,0,0,0,8,0,0,0,0,0,8
Abies alba,1,0,19,0,2,1,3,0,3,1,0,1,31
Abies nordmanniana,0,0,0,0,1,0,0,0,0,0,0,0,1
Abies pinsapo,0,1,0,0,0,0,0,0,0,0,0,0,1
Acacia,0,0,0,0,1,0,0,0,0,0,0,0,1
Acer,0,0,64,0,0,0,8,1,0,0,0,0,73
Acer buergerianum,0,1,4,0,0,0,28,0,1,1,0,0,35
Acer campestre,34,9,52,37,2,0,128,7,1,181,0,7,458
Acer monspessulanum,0,0,2,1,0,0,0,0,6,4,0,0,13
Acer negundo,2,1,99,4,0,0,30,0,1,41,0,0,178
Acer opalus,0,0,0,0,0,0,0,0,0,0,0,1,1
Acer palmatum,0,0,11,1,12,1,0,12,0,4,0,0,41
Acer platanoides,13,3,24,3,2,0,78,0,7,21,2,4,157
Acer pseudoplatanus,4,8,32,24,1,16,31,8,4,18,11,14,171
Acer rubrum,1,0,10,0,0,0,5,0,0,8,0,0,24
Acer saccharinum,11,0,13,26,2,0,18,0,1,18,0,0,89
Acer tataricum,0,0,1,0,0,0,0,0,0,0,0,0,1
Acer tataricum ssp. Ginnala,0,1,0,4,0,0,0,0,0,0,0,1,6
Acer x freemanii,0,0,2,19,0,0,0,0,0,5,0,0,26
Aesculus,0,0,0,0,0,0,0,0,0,1,0,0,1
Aesculus hippocastanum,9,21,91,4,1,0,34,13,3,405,0,0,581
Ailanthus altissima,0,0,1,1,0,0,9,0,0,0,0,0,11
Albizia julibrissin,0,0,1,2,0,0,0,0,0,0,0,0,3
Alnus,0,0,0,21,0,0,1,0,0,52,0,0,74
Alnus cordata,0,0,1,0,0,0,0,0,0,0,0,0,1
Alnus glutinosa,0,0,0,3,0,0,1,0,0,1,0,1,6
Alnus incana,0,0,5,0,0,5,0,0,0,0,0,0,10
Arbutus unedo,1,0,0,0,0,0,1,0,0,0,0,0,2
Aucuba japonica,0,0,0,0,0,0,2,0,0,0,0,0,2
Berberis thunbergii,0,0,0,0,0,0,1,0,0,0,0,20,21
Betula,8,0,0,1,0,0,12,4,0,78,0,0,103
Betula lenta,0,0,1,0,0,0,0,0,0,0,0,0,1
Betula nigra,0,1,1,18,0,0,0,0,0,0,0,0,20
Betula pendula,22,0,11,14,12,6,33,3,1,25,0,3,130
Buxus sempervirens,0,0,11,0,0,0,5,0,0,0,0,0,16
Calocedrus decurrens,0,0,0,0,0,0,1,0,0,0,0,0,1
Calycanthus,0,0,0,0,0,0,2,0,0,0,0,0,2
Carpinus betulus,18,3,159,53,13,2,126,1,5,123,0,33,536
Catalpa,0,0,0,1,0,0,0,0,0,0,0,0,1
Catalpa bignonioides,1,0,10,0,2,0,0,0,1,4,0,0,18
Cedrus,0,0,7,0,0,0,0,0,0,2,0,0,9
Cedrus atlantica,3,2,21,2,2,0,19,0,1,19,0,1,70
Cedrus deodara,17,5,48,10,3,0,95,3,6,56,0,3,246
Cedrus libani,0,0,40,0,0,5,5,0,0,2,0,0,52
Celtis australis,61,1,242,211,25,9,341,21,15,83,0,19,1028
Cercis siliquastrum,0,3,10,10,7,0,23,0,0,3,0,0,56
Chamaecyparis,0,0,1,0,0,0,0,0,0,2,0,0,3
Chamaecyparis lawsoniana,0,0,2,0,0,0,14,0,0,2,0,0,18
Clerodendrum trichotomum,0,0,11,0,0,0,4,0,10,0,0,0,25
Cornus,0,1,0,0,0,0,2,0,0,0,0,5,8
Cornus mas,0,0,0,0,1,0,0,0,0,1,0,0,2
