SpeciesName,ReplacementValue,PollutionRemoval
Abies,2307.762,93.488
Abies alba,2221.02,153.871
Abies nordmanniana,1600.85,110.2
Abies pinsapo,3350.64,306.4
Acacia,2391.39,507.8
Acer,2015.208,231.751
Acer buergerianum,511.381,28.614
Acer campestre,685.366,39.047
Acer monspessulanum,751.725,44.031
Acer negundo,1188.268,201.569
Acer opalus,110.08,7.5
Acer palmatum,1774.503,98.58
Acer platanoides,1172.27,141.849
Acer pseudoplatanus,1315.41,107.555
Acer rubrum,1326.426,45.467
Acer saccharinum,1869.802,203.831
Acer tataricum,81.22,5.8
Acer tataricum ssp. ginnala,73.993,5.6
Acer x freemanii,303.688,8.65
Aesculus,10542.73,980.9
Aesculus hippocastanum,2804.876,260.828
Ailanthus altissima,3551.266,300.373
Albizia julibrissin,3111.223,360.933
Alnus,481.026,22.142
Alnus cordata,3553.1,413.4
Alnus glutinosa,1882.82,71.517
Alnus incana,3098.626,126.7
Arbutus unedo,222.51,3.0
Aucuba japonica,1354.8,53.1
Berberis thunbergii,1354.8,72.171
Betula,395.131,32.583
Betula lenta,599.94,15.6
Betula nigra,1458.334,79.91
Betula pendula,1098.996,88.034
Buxus sempervirens,1354.8,56.525
Calocedrus decurrens,3032.82,75.2
Calycanthus,1354.8,65.25
Carpinus betulus,758.398,62.324
Catalpa,2781.39,167.4
Catalpa bignonioides,2613.747,291.006
Cedrus,6553.896,398.711
Cedrus atlantica,6691.173,345.894
Cedrus deodara,6760.509,403.868
Cedrus libani,8771.951,545.381
Celtis australis,1922.539,193.883
Cercis siliquastrum,1635.799,26.461
Chamaecyparis,1588.293,38.467
Chamaecyparis lawsoniana,1503.134,51.922
Clerodendrum trichotomum,265.078,10.032
Cornus,198.98,3.225
Cornus mas,579.13,11.0
Cornus nuttallii,1354.8,47.7
Cornus sanguinea,1354.8,60.0
Corylus avellana,1354.8,3.292
Corylus colurna,773.081,61.069
Corylus maxima,1354.8,80.1
Crataegus,273.44,8.981
Crataegus monogyna,459.73,15.98
Crataegus x lavallei,435.58,6.3
Cupressus,1197.003,19.742
Cupressus arizonica,4744.25,184.517
Cupressus lusitanica,6914.723,242.6
Cupressus sempervirens,1322.028,33.19
Cupressus torulosa,2285.98,102.8
Davidia involucrata,1423.294,45.25
Diospyros kaki,1219.357,72.8
Diospyros lotus,2071.529,73.829
Elaeagnus,1354.8,60.8
Elaeagnus pungens,1354.8,71.871
Eriobotrya japonica,1202.143,14.367
Eucalyptus cordata,148.1,5.4
Fagus,1418.377,126.318
Fagus sylvatica,2800.435,109.361
Ficus carica,1107.166,50.51
Forsythia viridissima,1354.8,76.9
Forsythia x intermedia,1354.8,86.8
Fraxinus,483.651,43.783
Fraxinus americana,715.802,31.581
Fraxinus angustifolia,588.896,50.646
Fraxinus angustifolia ssp. Oxycarpa,364.21,13.9
Fraxinus excelsior,1016.276,121.165
Fraxinus ornus,689.733,66.968
Ginkgo biloba,3142.32,153.5
Gleditsia triacanthos,1537.668,122.25
Hedera helix,1354.8,63.9
Hibiscus syriacus,114.71,2.95
Ilex,614.944,39.306
Ilex aquifolium,350.176,8.989
Jasminum,1354.8,71.9
Juglans,1019.82,266.933
Juglans nigra,1132.874,61.164
Juglans regia,2449.044,304.986
Juniperus chinensis,1309.09,78.533
Juniperus drupacea,3301.57,82.7
Koelreuteria paniculata,1680.445,186.593
Laburnum anagyroides,1354.8,56.7
Lagerstroemia,2391.39,88.9
Lagerstroemia indica,68.301,1.867
Larix decidua,1058.453,70.589
Laurus nobilis,1290.75,92.483
Ligustrum,1331.675,62.647
Ligustrum japonicum,300.447,10.804
Ligustrum lucidum,1399.892,98.522
Liquidambar styraciflua,1141.384,60.14
Liriodendron tulipifera,836.253,43.67
Lonicera,1354.8,66.167
Maclura pomifera,656.57,8.0
Magnolia,605.91,17.933
Magnolia grandiflora,656.57,20.473
Magnolia kobus,79.55,2.7
Magnolia x soulangeana,449.144,118.946
Malus,452.729,19.889
Malus floribunda,780.703,16.884
Malus sylvestris,1165.145,22.4
Metasequoia glyptostroboides,2568.246,147.375
Morus,1024.305,71.15
Morus alba,906.016,103.425
Morus nigra,809.077,119.865
Nerium oleander,297.671,5.243
Olea europaea,961.593,38.954
Osmanthus fragrans,1354.8,70.7
Ostrya carpinifolia,1096.793,50.338
Parrotia persica,433.419,19.6
Parthenocissus,1354.8,66.623
Paulownia tomentosa,3212.727,276.817
Philadelphus,1354.8,58.367
Philadelphus pubescens,1354.8,59.55
Photinia serrulata,156.614,4.84
Photinia x fraseri,393.208,18.11
Picea,2452.826,164.4
Picea abies,2235.037,141.98
Picea glauca,1861.622,104.38
Picea obovata,990.745,34.05
Picea pungens,2070.153,64.827
Picea sitchensis,1217.24,22.8
Pinus,1492.6,194.325
Pinus bungeana,2377.91,126.4
Pinus cembra,1874.15,163.8
Pinus coulteri,3953.87,331.45
Pinus halepensis,2748.07,181.333
Pinus nigra,1999.769,123.941
