year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,-4.0,2.0,3.0,8.0,12.0,21.0,22.0,22.5,18.5,13.5,7.0,0.5
1993,-5.0,1.0,4.5,12.5,14.5,23.0,22.5,24.5,17.0,10.5,10.0,1.0
1993,-1.5,2.5,5.0,10.5,15.0,17.0,23.5,25.5,16.5,13.5,11.0,3.0
1993,-4.5,2.5,5.0,8.0,18.0,20.0,23.0,25.5,12.5,12.5,10.0,0.5
1993,-1.5,1.0,3.0,13.0,17.5,20.5,23.5,26.5,16.0,10.5,10.5,2.5
1993,0.0,2.5,4.5,12.0,15.5,21.5,24.5,24.5,14.5,14.5,12.0,2.0
1993,1.0,5.0,5.5,16.5,16.0,24.0,23.5,23.5,16.5,13.0,12.5,-0.5
1993,2.5,0.5,5.0,14.5,16.5,23.5,18.5,24.0,15.5,11.5,9.0,1.0
1993,0.5,2.5,3.5,11.5,17.5,24.5,22.5,22.5,17.0,13.5,8.5,3.0
1993,-3.0,0.5,4.5,10.5,19.5,23.0,20.0,20.0,19.5,11.0,9.5,0.0
1993,1.0,1.0,6.5,10.0,17.0,21.0,17.5,22.5,17.5,12.5,9.0,3.0
1993,3.5,0.5,6.5,9.0,16.5,19.5,18.0,23.0,19.0,15.5,8.5,1.0
1993,2.0,1.5,8.0,8.5,14.5,17.0,17.5,23.5,16.0,17.5,7.0,-0.5
1993,4.0,1.5,9.5,15.5,15.5,20.5,17.5,24.0,16.5,16.0,5.5,0.5
1993,3.0,0.5,10.0,12.0,17.5,20.5,20.0,23.5,15.0,12.0,8.0,2.0
1993,2.0,2.5,9.5,13.0,18.0,20.5,24.0,26.0,17.0,10.0,6.5,2.5
1993,-2.0,0.0,13.5,13.0,17.5,23.5,23.0,26.5,17.5,11.0,1.0,3.0
1993,-0.5,2.5,15.5,12.0,17.5,19.0,25.0,24.5,20.5,12.0,0.5,0.5
1993,0.0,2.0,15.0,14.0,19.0,20.0,21.5,23.5,20.5,12.5,0.0,0.5
1993,1.0,5.0,14.0,14.5,24.5,22.0,19.5,26.5,21.0,13.5,-2.5,1.5
1993,0.0,2.5,11.5,16.5,17.0,21.0,21.0,24.0,22.0,11.0,-0.5,3.0
1993,0.5,1.0,13.0,15.0,17.0,21.5,21.5,24.5,20.5,6.5,-1.0,3.0
1993,0.0,-0.5,12.5,14.5,17.5,20.0,19.5,25.0,21.5,9.0,-1.5,-2.5
1993,1.0,1.0,10.0,16.0,19.0,23.0,19.5,23.5,16.0,9.5,2.0,-0.5
1993,6.5,1.5,8.5,14.5,21.5,19.0,21.0,23.5,15.5,9.5,1.5,-1.5
1993,1.0,1.0,10.5,17.0,21.5,23.0,22.5,21.5,13.5,6.5,3.0,0.0
1993,2.0,1.0,5.0,17.0,24.0,19.0,20.0,18.5,13.5,6.0,1.0,1.5
1993,0.5,1.5,6.0,15.5,19.5,23.0,23.5,21.0,11.5,3.5,-0.5,-6.0
1993,1.5,,6.0,17.0,19.0,17.0,24.5,18.0,13.5,4.5,-1.0,-5.5
1993,1.5,,7.0,14.0,19.0,21.0,25.0,15.0,12.5,3.0,-1.0,-4.5
1993,0.5,,6.5,,23.0,,24.0,21.0,,4.5,,-4.5
1997,-1.0,1.0,6.0,15.0,16.5,12.5,16.5,20.5,22.0,15.5,3.5,7.5
1997,-0.5,-0.5,7.0,12.0,16.5,15.0,19.5,19.5,24.5,18.5,4.0,3.0
1997,1.5,-2.5,9.5,15.0,18.0,16.5,21.0,21.5,23.0,18.0,4.5,6.0
1997,2.0,-1.0,10.5,14.0,16.5,19.0,20.0,24.0,22.5,15.5,5.0,3.0
1997,1.0,2.0,12.5,10.0,16.5,17.5,18.5,25.0,23.5,14.0,8.0,0.0
1997,2.0,4.0,12.0,11.0,11.5,20.0,21.0,24.5,23.5,16.5,8.5,-2.0
1997,1.5,-0.5,9.0,11.5,12.5,22.0,18.0,23.0,21.5,18.0,12.5,-3.5
1997,-0.5,1.0,8.0,9.5,11.0,22.5,22.5,23.5,22.5,20.0,10.5,-1.0
1997,0.5,1.0,7.5,8.5,12.0,23.0,21.5,25.0,24.0,17.5,8.0,-0.5
1997,1.0,4.0,10.0,15.0,14.5,24.0,21.0,24.0,23.5,18.0,8.0,1.0
1997,4.0,3.0,8.0,12.5,16.5,23.5,23.0,23.0,19.5,14.0,9.5,0.5
1997,2.5,4.0,10.0,13.5,15.5,24.5,21.5,24.0,22.0,13.5,6.5,4.0
1997,1.5,6.5,11.5,12.0,17.5,23.0,22.5,24.5,19.5,12.5,8.0,4.5
1997,1.0,4.5,13.5,10.0,21.5,20.5,23.5,24.0,20.0,10.5,4.5,2.5
1997,1.5,5.5,13.0,10.5,21.5,23.0,24.5,25.0,16.5,6.5,2.5,2.0
1997,2.0,4.0,13.0,7.0,21.0,22.5,22.5,23.5,17.5,6.5,2.0,0.5
1997,-0.5,1.0,14.0,8.5,21.0,23.5,23.0,18.5,18.0,7.5,2.0,-0.5
1997,-2.0,0.5,11.5,9.0,19.0,20.5,18.0,22.0,19.5,7.5,0.5,0.5
1997,-2.5,4.5,12.0,9.5,18.5,16.5,21.0,22.0,19.5,7.0,2.5,2.0
1997,1.0,4.0,10.0,10.0,18.5,20.5,21.0,23.0,18.0,10.5,2.0,4.0
1997,3.0,2.5,8.5,12.0,18.5,20.0,20.0,21.0,19.0,13.0,2.5,5.5
1997,4.0,3.5,8.0,9.5,18.5,17.5,20.0,21.5,18.5,12.5,3.0,7.0
1997,3.5,5.5,6.5,12.0,16.0,19.0,22.5,22.0,17.5,12.0,4.5,6.0
1997,3.0,5.0,12.5,10.5,18.5,18.5,22.5,23.0,19.0,12.5,4.0,3.5
1997,2.0,6.0,9.0,12.0,14.5,15.5,25.0,23.0,16.0,5.5,5.0,2.5
1997,2.5,9.5,12.0,14.5,18.5,15.5,25.5,23.5,14.5,3.5,4.0,3.5
1997,1.5,9.0,11.0,11.5,20.0,13.0,22.0,24.0,16.0,6.0,3.5,4.0
1997,1.5,6.5,11.0,14.5,19.5,20.0,23.0,22.0,14.5,2.0,6.0,1.5
1997,0.0,,8.0,15.0,15.0,20.0,20.0,20.5,18.5,-0.5,6.5,1.0
1997,0.5,,8.5,15.5,18.0,17.5,21.5,18.5,17.0,1.5,8.5,-0.5
1997,1.0,,11.5,,15.5,,21.5,21.0,,6.0,,-1.0
2001,-1.5,1.5,3.0,11.5,18.5,20.5,24.5,26.5,16.0,17.5,12.0,4.0
2001,-1.0,-0.5,3.5,13.0,18.5,16.0,24.0,25.5,18.0,17.0,6.0,6.0
2001,-0.5,-1.5,1.5,12.0,15.5,13.0,22.5,26.5,18.0,17.0,2.5,6.0
2001,1.0,-0.5,6.5,12.5,16.0,16.0,23.5,24.5,15.0,13.5,3.0,5.0
2001,1.0,2.5,11.5,11.5,16.5,17.0,24.5,25.0,19.5,15.0,7.5,4.5
2001,1.0,3.0,8.0,11.5,17.0,16.0,25.5,23.0,20.0,16.5,6.5,6.0
2001,2.0,6.0,7.5,9.5,19.0,18.0,24.0,23.0,17.0,16.5,6.5,7.0
2001,5.0,6.0,6.5,11.5,20.0,21.0,23.0,22.5,17.0,17.5,8.5,2.0
2001,5.0,6.5,5.5,13.0,18.5,19.5,24.0,23.0,18.5,15.5,7.0,-3.0
2001,2.0,7.0,7.5,10.5,19.0,17.5,23.0,20.5,15.5,14.5,5.5,-2.5
2001,3.5,6.0,11.0,11.5,19.5,17.0,22.5,21.0,15.5,13.5,7.0,-2.0
2001,3.0,4.5,9.0,15.0,19.0,16.5,25.5,19.0,15.5,13.0,8.0,-3.5
2001,3.0,6.5,11.0,11.5,16.5,18.0,24.0,21.5,14.0,12.5,11.5,-1.0
2001,0.0,6.5,12.5,7.5,19.5,21.5,24.0,23.0,14.0,11.5,7.5,-3.0
2001,-3.5,2.5,9.0,7.5,16.0,20.5,24.5,23.5,16.0,12.5,2.0,-2.5
2001,-4.5,3.0,10.5,10.5,18.5,20.5,22.0,24.5,12.0,13.5,2.5,-6.0
2001,-4.0,3.0,9.0,11.5,19.5,19.0,23.0,25.5,12.5,13.5,-1.0,-7.0
2001,0.0,7.5,11.0,8.0,20.0,19.0,19.0,20.0,11.5,14.0,0.0,-6.0
2001,0.5,6.0,13.5,12.0,18.0,20.5,22.0,23.5,11.5,14.0,3.0,-6.5
2001,1.0,7.0,12.0,6.5,16.5,22.0,18.5,20.0,14.5,16.0,-0.5,-4.5
2001,-1.0,4.5,10.0,6.5,14.5,19.5,22.5,24.0,16.0,14.5,-2.5,-2.5
2001,-1.0,11.0,15.5,11.5,19.0,20.5,21.5,23.0,14.5,10.5,-1.0,-3.5
2001,2.5,6.5,14.0,10.5,21.0,22.5,22.5,23.5,14.0,11.0,4.0,-1.5
2001,2.0,5.0,13.0,12.0,21.5,25.0,24.0,24.5,16.0,13.0,0.0,-4.0
2001,3.5,2.0,13.0,10.5,22.0,24.5,24.0,25.5,15.0,11.0,-2.5,-5.5
2001,3.5,1.5,11.5,16.5,22.0,26.0,24.5,26.0,15.0,10.5,0.0,-1.5
2001,4.0,0.5,14.5,13.0,22.0,24.0,24.0,26.5,14.5,12.5,1.0,-1.0
2001,1.5,0.5,11.0,14.5,25.0,20.5,24.0,26.0,15.0,10.5,2.5,-3.0
2001,2.5,,9.5,14.5,26.0,24.5,26.5,25.0,14.0,9.5,4.0,-5.5
2001,6.5,,8.0,13.5,25.5,25.0,27.5,22.5,14.0,10.0,0.5,4.0
2001,4.0,,14.0,,22.5,,26.0,19.0,,9.5,,2.5
2005,0.2,4.7,-3.4,13.5,21.0,21.05,22.3,26.0,25.6,14.2,11.25,-1.55
2005,1.3,3.7,-1.4,12.4,21.2,21.9,24.0,24.1,25.45,11.8,10.8,-1.45
2005,4.4,4.45,-3.0,11.35,20.8,20.9,24.05,23.1,23.6,10.25,10.2,1.0
2005,3.2,2.2,-0.95,11.5,19.1,21.55,25.4,24.3,21.8,11.0,9.7,0.25
2005,1.5,1.1,1.4,11.4,17.8,22.4,19.2,22.1,19.65,12.1,11.15,1.9
2005,2.45,-1.4,1.6,12.6,15.75,19.85,20.4,22.45,20.5,12.4,10.15,2.45
