,Tree ID,Species Name,DBH,Height,Crown Height,Crown Width,Canopy Cover,Tree Condition,Leaf Area,Leaf Biomass,Leaf Area Index,Basal Area,,Native to State
,,,(cm),(m),(m),(m),(m²),,(m²),(kg),,(m²),,
,1,Acer pseudoplatanus,8.00,3.50,1.00,1.50,1.80,FAIR,3.50,0.20,2.00,0.00,,
,2,Acer pseudoplatanus,8.00,5.00,1.50,1.50,1.80,FAIR,4.20,0.30,2.40,0.00,,
,3,Acer pseudoplatanus,9.00,4.50,1.30,1.50,1.80,FAIR,4.00,0.30,2.30,0.00,,
,4,Acer pseudoplatanus,11.00,5.00,1.50,2.50,4.90,FAIR,7.10,0.50,1.50,0.00,,
,7,Cupressus,25.00,8.00,2.40,1.50,1.80,FAIR,6.60,1.50,3.70,0.00,,
,8,Acer pseudoplatanus,9.00,4.50,1.30,1.50,1.80,FAIR,4.20,0.30,2.40,0.00,,
,9,Acer pseudoplatanus,10.00,4.00,1.20,2.00,3.10,FAIR,4.80,0.30,1.50,0.00,,
,10,Acer pseudoplatanus,10.00,4.00,1.20,2.00,3.10,FAIR,5.80,0.40,1.80,0.00,,
,11,Acer pseudoplatanus,9.00,3.50,1.00,1.50,1.80,FAIR,3.90,0.30,2.20,0.00,,
,12,Acer pseudoplatanus,10.00,5.00,1.50,2.00,3.10,FAIR,6.20,0.40,2.00,0.00,,
,13,Acer platanoides,10.00,5.00,1.50,2.50,4.90,FAIR,9.30,0.50,1.90,0.00,,
,14,Acer pseudoplatanus,8.00,4.00,1.20,2.00,3.10,FAIR,4.70,0.30,1.50,0.00,,
,15,Acer platanoides,9.00,5.00,1.50,2.00,3.10,FAIR,6.70,0.40,2.10,0.00,,
,16,Acer pseudoplatanus,9.00,3.00,0.90,1.50,1.80,FAIR,2.90,0.20,1.60,0.00,,
,17,Acer pseudoplatanus,10.00,4.00,1.20,2.00,3.10,FAIR,4.40,0.30,1.40,0.00,,
,18,Acer pseudoplatanus,9.00,4.50,1.30,1.50,1.80,FAIR,4.20,0.30,2.40,0.00,,
,36,Sophora japonica,15.00,5.00,1.50,2.00,3.10,FAIR,4.00,0.50,1.30,0.00,,
,37,Tilia cordata,8.00,4.50,1.30,3.00,7.10,FAIR,9.50,0.70,1.30,0.00,,
,38,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,13.30,1.00,1.90,0.00,,
,39,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,11.80,0.90,1.70,0.00,,
,40,Tilia cordata,7.00,4.00,1.20,2.00,3.10,FAIR,4.90,0.40,1.60,0.00,,
,70,Tilia cordata,18.00,6.00,1.80,6.00,28.30,FAIR,71.40,5.30,2.50,0.00,,
,71,Tilia cordata,17.00,7.00,2.10,6.00,28.30,FAIR,73.30,5.50,2.60,0.00,,
,72,Tilia cordata,17.00,7.00,2.10,6.00,28.30,FAIR,69.10,5.20,2.40,0.00,,
,73,Tilia cordata,14.00,7.00,2.10,5.00,19.60,FAIR,34.40,2.60,1.80,0.00,,
,80,Acer pseudoplatanus,5.00,4.00,1.20,3.00,7.10,FAIR,6.20,0.40,0.90,0.00,,
,81,Acer pseudoplatanus,12.00,6.00,1.80,3.00,7.10,FAIR,9.70,0.70,1.40,0.00,,
,82,Acer pseudoplatanus,12.00,6.00,1.80,3.50,9.60,FAIR,16.50,1.20,1.70,0.00,,
,83,Acer pseudoplatanus,9.00,5.00,1.50,2.50,4.90,FAIR,7.10,0.50,1.40,0.00,,
,84,Acer pseudoplatanus,10.00,5.00,1.50,2.50,4.90,FAIR,7.90,0.50,1.60,0.00,,
,85,Acer pseudoplatanus,10.00,5.00,1.50,2.50,4.90,FAIR,7.40,0.50,1.50,0.00,,
,86,Acer pseudoplatanus,4.00,5.00,1.50,2.00,3.10,FAIR,3.50,0.20,1.10,0.00,,
,87,Acer pseudoplatanus,10.00,5.00,1.50,3.00,7.10,FAIR,8.50,0.60,1.20,0.00,,
,88,Acer pseudoplatanus,12.00,5.00,1.50,3.00,7.10,FAIR,11.80,0.80,1.70,0.00,,
,89,Acer pseudoplatanus,2.00,5.00,1.50,1.00,0.80,FAIR,1.60,0.10,2.00,0.00,,
,90,Acer pseudoplatanus,4.00,5.00,1.50,2.00,3.10,FAIR,4.00,0.30,1.30,0.00,,
,91,Acer campestre,5.00,6.00,1.80,2.00,3.10,FAIR,5.20,0.30,1.70,0.00,,
,92,Acer campestre,8.00,8.00,2.40,2.00,3.10,FAIR,7.20,0.40,2.30,0.00,,
,93,Acer campestre,10.00,4.00,1.20,3.00,7.10,FAIR,10.40,0.60,1.50,0.00,,
,94,Acer tataricum ssp. ginnala,4.00,4.00,1.20,2.00,3.10,FAIR,3.20,0.20,1.00,0.00,,
,95,Acer tataricum ssp. ginnala,4.00,4.00,1.20,2.00,3.10,FAIR,3.20,0.20,1.00,0.00,,
,96,Fagus,7.00,4.50,1.30,1.50,1.80,FAIR,3.60,0.20,2.00,0.00,,
,97,Fagus,7.00,4.50,1.30,1.50,1.80,FAIR,3.00,0.10,1.70,0.00,,
,99,Fagus,8.00,4.50,1.30,1.50,1.80,FAIR,3.40,0.20,1.90,0.00,,
,100,Fagus,8.00,4.50,1.30,1.50,1.80,FAIR,3.80,0.20,2.10,0.00,,
,101,Fagus,8.00,4.50,1.30,1.50,1.80,FAIR,2.90,0.10,1.70,0.00,,
,102,Fagus,8.00,4.50,1.30,1.50,1.80,FAIR,3.80,0.20,2.10,0.00,,
,103,Fagus,8.00,3.50,1.00,2.00,3.10,FAIR,4.20,0.20,1.40,0.00,,
,104,Fagus,7.00,4.50,1.30,1.50,1.80,FAIR,3.60,0.20,2.00,0.00,,
,107,Acer campestre,6.00,5.00,1.50,2.00,3.10,FAIR,5.20,0.30,1.60,0.00,,
,108,Acer opalus,6.00,5.00,1.50,2.00,3.10,FAIR,5.20,0.30,1.60,0.00,,
,114,Tilia cordata,8.00,4.50,1.30,3.00,7.10,FAIR,10.80,0.80,1.50,0.00,,
,115,Tilia cordata,10.00,4.50,1.30,2.50,4.90,FAIR,7.20,0.50,1.50,0.00,,
,116,Tilia cordata,8.00,4.50,1.30,1.00,0.80,FAIR,3.00,0.20,3.80,0.00,,
,117,Tilia cordata,8.00,4.50,1.30,2.00,3.10,FAIR,6.40,0.50,2.00,0.00,,
,118,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,13.30,1.00,1.90,0.00,,
,119,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,13.30,1.00,1.90,0.00,,
,120,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,12.50,0.90,1.80,0.00,,
,121,Tilia cordata,8.00,4.50,1.30,3.00,7.10,FAIR,11.50,0.90,1.60,0.00,,
,122,Tilia cordata,8.00,2.00,0.60,1.00,0.80,FAIR,1.40,0.10,1.80,0.00,,
,123,Sophora japonica,9.90,5.00,1.50,2.00,3.10,FAIR,4.20,0.50,1.30,0.00,,
,124,Sophora japonica,9.90,5.00,1.50,2.00,3.10,FAIR,4.20,0.50,1.30,0.00,,
,135,Tilia cordata,7.00,4.50,1.30,2.00,3.10,FAIR,4.70,0.40,1.50,0.00,,
,137,Tilia cordata,7.00,4.50,1.30,2.00,3.10,FAIR,5.80,0.40,1.80,0.00,,
,138,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,13.30,1.00,1.90,0.00,,
,139,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,11.00,0.80,1.60,0.00,,
,140,Tilia cordata,9.00,4.50,1.30,2.50,4.90,FAIR,9.00,0.70,1.80,0.00,,
,141,Tilia cordata,10.00,4.50,1.30,2.50,4.90,FAIR,8.30,0.60,1.70,0.00,,
,142,Tilia cordata,10.00,4.50,1.30,2.50,4.90,FAIR,8.30,0.60,1.70,0.00,,
,143,Tilia cordata,10.00,5.00,1.50,2.50,4.90,FAIR,8.00,0.60,1.60,0.00,,
,144,Tilia cordata,10.00,4.50,1.30,2.50,4.90,FAIR,9.30,0.70,1.90,0.00,,
,145,Tilia cordata,11.00,5.00,1.50,2.50,4.90,FAIR,10.00,0.70,2.00,0.00,,
,146,Tilia cordata,11.00,5.00,1.50,2.50,4.90,FAIR,7.70,0.60,1.60,0.00,,
,147,Tilia cordata,11.00,5.00,1.50,2.50,4.90,FAIR,7.70,0.60,1.60,0.00,,
,148,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,13.30,1.00,1.90,0.00,,
,149,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,11.00,0.80,1.60,0.00,,
,150,Tilia cordata,11.00,5.00,1.50,3.00,7.10,FAIR,10.20,0.80,1.40,0.00,,
,151,Tilia cordata,11.00,5.00,1.50,2.50,4.90,FAIR,7.70,0.60,1.60,0.00,,
,152,Tilia cordata,11.00,5.00,1.50,2.50,4.90,FAIR,8.90,0.70,1.80,0.00,,
,170,Sorbus,18.00,5.00,1.50,4.00,12.60,FAIR,18.40,1.50,1.50,0.00,,
,171,Sorbus,18.00,5.00,1.50,3.00,7.10,FAIR,8.90,0.70,1.30,0.00,,
,172,Sorbus,18.00,5.00,1.50,4.00,12.60,FAIR,18.40,1.50,1.50,0.00,,
,173,Sorbus,18.00,5.00,1.50,4.00,12.60,FAIR,18.40,1.50,1.50,0.00,,
,174,Sorbus,12.00,4.00,1.20,3.00,7.10,FAIR,8.70,0.70,1.20,0.00,,
,180,Tilia cordata,13.00,6.00,1.80,4.00,12.60,FAIR,24.10,1.80,1.90,0.00,,
,181,Tilia cordata,13.00,6.00,1.80,4.00,12.60,FAIR,25.50,1.90,2.00,0.00,,
,182,Tilia cordata,19.00,6.00,1.80,5.00,19.60,FAIR,47.20,3.50,2.40,0.00,,
,183,Cupressus,14.00,10.00,3.00,1.00,0.80,FAIR,4.30,1.00,5.50,0.00,,
,184,Cupressus,14.00,10.00,3.00,1.00,0.80,FAIR,3.50,0.80,4.50,0.00,,
,185,Cupressus,14.00,10.00,3.00,1.00,0.80,FAIR,3.80,0.90,4.80,0.00,,
,186,Carpinus betulus,11.00,4.50,1.30,2.00,3.10,FAIR,8.00,0.50,2.60,0.00,,
,187,Carpinus betulus,11.00,4.00,1.20,1.50,1.80,FAIR,5.70,0.30,3.20,0.00,,
,188,Carpinus betulus,11.00,5.00,1.50,4.00,12.60,FAIR,25.30,1.50,2.00,0.00,,
,189,Carpinus betulus,10.00,4.50,1.30,3.00,7.10,FAIR,13.90,0.80,2.00,0.00,,
,307,Tilia cordata,10.00,5.00,1.50,4.00,12.60,FAIR,21.90,1.60,1.70,0.00,,
,308,Tilia cordata,10.00,5.00,1.50,4.00,12.60,FAIR,21.90,1.60,1.70,0.00,,
,309,Tilia cordata,10.00,4.00,1.20,4.00,12.60,FAIR,19.40,1.50,1.50,0.00,,
,310,Tilia cordata,10.00,5.00,1.50,4.00,12.60,FAIR,21.90,1.60,1.70,0.00,,
,311,Tilia cordata,10.00,5.00,1.50,4.00,12.60,FAIR,19.40,1.50,1.50,0.00,,
,312,Tilia cordata,10.00,5.00,1.50,4.00,12.60,FAIR,21.90,1.60,1.70,0.00,,
,330,Prunus avium,35.00,13.00,3.90,14.00,153.90,FAIR,294.60,22.80,1.90,0.10,,
,331,Fraxinus,16.00,8.00,2.40,6.00,28.30,FAIR,63.40,5.70,2.20,0.00,,
,332,Fraxinus,13.00,6.00,1.80,4.00,12.60,FAIR,21.50,1.90,1.70,0.00,,
,333,Fraxinus,13.00,6.00,1.80,4.00,12.60,FAIR,17.60,1.60,1.40,0.00,,
,396,Prunus serrulata,16.00,5.00,1.50,4.00,12.60,FAIR,10.00,0.80,0.80,0.00,,
,397,Prunus serrulata,25.00,6.00,1.80,6.00,28.30,FAIR,33.40,2.60,1.20,0.00,,
,398,Prunus serrulata,22.00,6.00,1.80,6.00,28.30,FAIR,36.40,2.80,1.30,0.00,,
,415,Parrotia persica,11.00,4.00,1.20,3.00,7.10,FAIR,8.40,0.40,1.20,0.00,,
,416,Parrotia persica,18.00,7.00,2.10,5.00,19.60,FAIR,42.70,2.20,2.20,0.00,,
,417,Parrotia persica,18.00,7.00,2.10,5.00,19.60,FAIR,42.70,2.20,2.20,0.00,,
,418,Parrotia persica,18.00,6.00,1.80,5.00,19.60,FAIR,35.90,1.80,1.80,0.00,,
,419,Parrotia persica,11.00,6.00,1.80,4.00,12.60,FAIR,21.10,1.10,1.70,0.00,,
,420,Parrotia persica,15.00,6.00,1.80,5.00,19.60,FAIR,29.30,1.50,1.50,0.00,,
,422,Parrotia persica,15.00,6.00,1.80,5.00,19.60,FAIR,38.00,2.00,1.90,0.00,,
,423,Parrotia persica,18.00,7.00,2.10,5.00,19.60,FAIR,32.90,1.70,1.70,0.00,,
,424,Parrotia persica,11.00,6.00,1.80,4.00,12.60,FAIR,21.10,1.10,1.70,0.00,,
,546,Parrotia persica,18.00,7.00,2.10,6.00,28.30,FAIR,61.70,3.20,2.20,0.00,,
,616,Carpinus betulus,11.00,4.00,1.20,3.00,7.10,FAIR,13.90,0.80,2.00,0.00,,
,617,Cupressus,19.00,14.00,4.20,1.00,0.80,FAIR,4.50,1.10,5.70,0.00,,
,618,Cupressus,19.00,14.00,4.20,1.00,0.80,FAIR,4.80,1.10,6.10,0.00,,
,619,Cupressus,19.00,14.00,4.20,1.00,0.80,FAIR,4.80,1.10,6.10,0.00,,
,620,Cupressus,19.00,14.00,4.20,1.00,0.80,FAIR,4.80,1.10,6.10,0.00,,
,621,Cupressus,19.00,14.00,4.20,1.00,0.80,FAIR,3.70,0.90,4.70,0.00,,
,622,Cupressus,19.00,14.00,4.20,1.00,0.80,FAIR,4.00,0.90,5.00,0.00,,
,623,Carpinus betulus,11.00,4.00,1.20,3.00,7.10,FAIR,12.30,0.70,1.70,0.00,,
