Tree ID,Species Name,DBH,Replacement Value,Carbon Storage,,"Gross Carbon
Sequestration",,Avoided Runoff,,Carbon Avoided,,Pollution Removal,,"Energy
Savings","Total Annual
Benefits"
,,(cm),(€),(kg),(€),(kg/yr),(€/yr),(m³/yr),(€/yr),(kg/yr),(€/yr),(g/yr),(€/yr),(€/yr),(€/yr)
1,Acer pseudoplatanus,8.00,179.43,12.00,1.92,1.10,0.17,0.00,0.01,N/A,N/A,5.10,0.03,N/A,0.21
2,Acer pseudoplatanus,8.00,179.43,12.90,2.07,1.10,0.18,0.00,0.01,N/A,N/A,6.10,0.03,N/A,0.23
3,Acer pseudoplatanus,9.00,227.09,16.20,2.61,1.30,0.20,0.00,0.01,N/A,N/A,5.80,0.03,N/A,0.25
4,Acer pseudoplatanus,11.00,482.46,25.70,4.13,1.60,0.26,0.00,0.02,N/A,N/A,10.30,0.05,N/A,0.34
7,Cupressus,25.00,1110.29,448.20,72.02,11.10,1.78,0.00,0.02,N/A,N/A,9.60,0.05,N/A,1.85
8,Acer pseudoplatanus,9.00,227.09,16.20,2.61,1.30,0.20,0.00,0.01,N/A,N/A,6.10,0.03,N/A,0.25
9,Acer pseudoplatanus,10.00,280.36,20.00,3.22,1.40,0.23,0.00,0.02,N/A,N/A,6.90,0.04,N/A,0.28
10,Acer pseudoplatanus,10.00,280.36,20.00,3.22,1.40,0.23,0.00,0.02,N/A,N/A,8.40,0.04,N/A,0.29
11,Acer pseudoplatanus,9.00,227.09,15.50,2.49,1.20,0.20,0.00,0.01,N/A,N/A,5.70,0.03,N/A,0.24
12,Acer pseudoplatanus,10.00,280.36,20.90,3.35,1.50,0.23,0.00,0.02,N/A,N/A,9.00,0.05,N/A,0.30
13,Acer platanoides,10.00,289.26,21.30,3.42,1.90,0.31,0.00,0.03,N/A,N/A,13.50,0.07,N/A,0.41
14,Acer pseudoplatanus,8.00,179.43,12.30,1.97,1.10,0.17,0.00,0.02,N/A,N/A,6.80,0.04,N/A,0.22
