TreeID,SpeciesName,DBH,ReplacementValue,CarbonStorage,GrossCarbonSequestration,AvoidedRunoff,PollutionRemoval,TotalAnnualBenefits
1,Acer pseudoplatanus,8,179.43,12,1.1,0,5.1,0.21
2,Acer pseudoplatanus,8,179.43,12.9,1.1,0,6.1,0.23
3,Acer pseudoplatanus,9,227.09,16.2,1.3,0,5.8,0.25
4,Acer pseudoplatanus,11,482.46,25.7,1.6,0,10.3,0.34
7,Cupressus,25,1110.29,448.2,11.1,0,9.6,1.85
8,Acer pseudoplatanus,9,227.09,16.2,1.3,0,6.1,0.25
9,Acer pseudoplatanus,10,280.36,20,1.4,0,6.9,0.28
10,Acer pseudoplatanus,10,280.36,20,1.4,0,8.4,0.29
11,Acer pseudoplatanus,9,227.09,15.5,1.2,0,5.7,0.24
12,Acer pseudoplatanus,10,280.36,20.9,1.5,0,9,0.3
13,Acer platanoides,10,289.26,21.3,1.9,0,13.5,0.41
14,Acer pseudoplatanus,8,179.43,12.3,1.1,0,6.8,0.22
15,Acer platanoides,9,234.3,16.9,1.7,0,9.7,0.35
16,Acer pseudoplatanus,9,227.09,15.1,1.2,0,4.2,0.22
17,Acer pseudoplatanus,10,280.36,20,1.4,0,6.4,0.27
18,Acer pseudoplatanus,9,227.09,16.2,1.3,0,6.1,0.25
36,Sophora japonica,15,615.01,33.5,1.6,0,5.8,0.3
37,Tilia cordata,8,230.7,8.9,0.8,0,13.8,0.24
38,Tilia cordata,11,489.05,18.8,1.3,0,19.3,0.35
39,Tilia cordata,11,489.05,18.8,1.3,0,17.1,0.33
40,Tilia cordata,7,176.63,6.5,0.7,0,7.1,0.16
70,Tilia cordata,18,827.99,60,2.4,0.1,103.6,1.17
71,Tilia cordata,17,769.55,52.4,2.3,0.1,106.3,1.17
72,Tilia cordata,17,769.55,52.4,2.3,0.1,100.2,1.12
73,Tilia cordata,14,614.27,33.2,1.7,0.1,49.9,0.66
80,Acer pseudoplatanus,5,70.09,4.4,0.6,0,9.1,0.17
81,Acer pseudoplatanus,12,512.32,32.2,1.9,0,14.1,0.4
82,Acer pseudoplatanus,12,512.32,32.2,1.9,0,24,0.48
83,Acer pseudoplatanus,9,227.09,16.6,1.3,0,10.3,0.28
84,Acer pseudoplatanus,10,280.36,20.9,1.5,0,11.4,0.32
85,Acer pseudoplatanus,10,280.36,20.9,1.5,0,10.7,0.31
86,Acer pseudoplatanus,4,51.38,2.9,0.5,0,5,0.12
87,Acer pseudoplatanus,10,280.36,20.9,1.5,0,12.4,0.33
88,Acer pseudoplatanus,12,512.32,31.1,1.8,0,17.1,0.42
89,Acer pseudoplatanus,2,51.38,0.6,0.2,0,2.3,0.05
90,Acer pseudoplatanus,4,51.38,2.9,0.5,0,5.8,0.12
91,Acer campestre,5,81.22,5,0.5,0,7.6,0.13
92,Acer campestre,8,207.91,14.8,0.9,0,10.4,0.22
93,Acer campestre,10,324.86,20.4,1,0,15,0.27
94,Acer tataricum ssp. ginnala,4,59.54,5.3,0.9,0,4.7,0.19
95,Acer tataricum ssp. ginnala,4,59.54,5.3,0.9,0,4.7,0.19
96,Fagus,7,184.26,18.6,2,0,5.3,0.36
97,Fagus,7,184.26,18.6,2,0,4.3,0.35
99,Fagus,8,240.67,25.4,2.4,0,4.9,0.42
100,Fagus,8,240.67,25.4,2.4,0,5.5,0.42
101,Fagus,8,240.67,25.4,2.4,0,4.2,0.41
102,Fagus,8,240.67,25.4,2.4,0,5.5,0.42
103,Fagus,8,240.67,25.4,2.4,0,6.2,0.43
104,Fagus,7,184.26,18.6,2,0,5.3,0.36
107,Acer campestre,6,116.95,7,0.6,0,7.5,0.15
108,Acer opalus,6,110.08,13.5,1.6,0,7.5,0.31
114,Tilia cordata,8,230.7,8.9,0.8,0,15.7,0.25
115,Tilia cordata,10,360.47,15,1.1,0,10.4,0.26
116,Tilia cordata,8,230.7,8.9,0.8,0,4.4,0.17
117,Tilia cordata,8,230.7,8.9,0.8,0,9.3,0.2
118,Tilia cordata,11,489.05,18.8,1.3,0,19.3,0.35
119,Tilia cordata,11,489.05,18.8,1.3,0,19.3,0.35
120,Tilia cordata,11,489.05,18.8,1.3,0,18.2,0.34
121,Tilia cordata,8,230.7,8.9,0.8,0,16.7,0.26
122,Tilia cordata,8,230.7,8.9,0.8,0,2.1,0.15
123,Sophora japonica,9.9,271.47,13.2,0.9,0,6,0.19
124,Sophora japonica,9.9,271.47,13.2,0.9,0,6,0.19
135,Tilia cordata,7,176.63,6.5,0.7,0,6.8,0.16
137,Tilia cordata,7,176.63,6.5,0.7,0,8.4,0.17
138,Tilia cordata,11,489.05,18.8,1.3,0,19.3,0.35
139,Tilia cordata,11,489.05,18.8,1.3,0,16,0.32
140,Tilia cordata,9,291.98,11.7,1,0,13,0.25
141,Tilia cordata,10,360.47,15,1.1,0,12,0.27
142,Tilia cordata,10,360.47,15,1.1,0,12,0.27
143,Tilia cordata,10,360.47,15,1.1,0,11.6,0.27
144,Tilia cordata,10,360.47,15,1.1,0,13.5,0.28
145,Tilia cordata,11,489.05,18.8,1.3,0,14.5,0.31
146,Tilia cordata,11,489.05,18.8,1.3,0,11.2,0.29
147,Tilia cordata,11,489.05,18.8,1.3,0,11.2,0.29
148,Tilia cordata,11,489.05,18.8,1.3,0,19.3,0.35
149,Tilia cordata,11,489.05,18.8,1.3,0,16,0.32
150,Tilia cordata,11,489.05,18.8,1.3,0,14.8,0.31
151,Tilia cordata,11,489.05,18.8,1.3,0,11.2,0.29
152,Tilia cordata,11,489.05,18.8,1.3,0,12.8,0.3
170,Sorbus,18,744.35,131.7,5.6,0,26.7,1.1
171,Sorbus,18,744.35,131.7,5.6,0,13,0.99
172,Sorbus,18,744.35,131.7,5.6,0,26.7,1.1
173,Sorbus,18,744.35,131.7,5.6,0,26.7,1.1
174,Sorbus,12,512,48.9,3.1,0,12.7,0.6
180,Tilia cordata,13,569.19,27.9,1.6,0,34.9,0.52
181,Tilia cordata,13,569.19,27.9,1.6,0,37,0.53
182,Tilia cordata,19,889.77,68.2,2.6,0.1,68.4,0.94
183,Cupressus,14,551.62,143.6,6.1,0,6.2,1.03
184,Cupressus,14,551.62,143.5,6.1,0,5.1,1.02
185,Cupressus,14,551.62,143.5,6.1,0,5.5,1.02
186,Carpinus betulus,11,482.32,32.2,1.9,0,11.6,0.39
187,Carpinus betulus,11,482.32,32.2,1.9,0,8.2,0.36
188,Carpinus betulus,11,482.32,32.2,1.9,0,36.8,0.58
189,Carpinus betulus,10,278.67,26.5,1.7,0,20.2,0.42
307,Tilia cordata,10,360.47,15,1.1,0,31.8,0.42
308,Tilia cordata,10,360.47,15,1.1,0,31.8,0.42
309,Tilia cordata,10,360.47,15,1.1,0,28.2,0.39
310,Tilia cordata,10,360.47,15,1.1,0,31.8,0.42
311,Tilia cordata,10,360.47,15,1.1,0,28.1,0.39
312,Tilia cordata,10,360.47,15,1.1,0,31.8,0.42
330,Prunus avium,35,1569.28,449.3,7.1,0.5,427.3,4.37
331,Fraxinus,16,660.92,92.3,4,0.1,92,1.33
332,Fraxinus,13,546.14,55.4,3,0,31.2,0.71
333,Fraxinus,13,546.14,55.4,3,0,25.5,0.67
396,Prunus serrulata,16,610.53,79.6,3.8,0,14.5,0.72
397,Prunus serrulata,25,975.63,235.9,7.1,0.1,48.5,1.51
398,Prunus serrulata,22,836.12,172.8,5.9,0.1,52.8,1.35
415,Parrotia persica,11,482.32,25.4,1.2,0,12.1,0.29
416,Parrotia persica,18,744.35,83.4,2.4,0.1,62,0.86
417,Parrotia persica,18,744.35,83.4,2.4,0.1,62,0.86
418,Parrotia persica,18,744.35,83.4,2.4,0.1,52,0.78
419,Parrotia persica,11,482.32,25.4,1.2,0,30.6,0.42
420,Parrotia persica,15,616.56,53.6,1.9,0.1,42.4,0.62
422,Parrotia persica,15,616.56,53.6,1.9,0.1,55.1,0.72
423,Parrotia persica,18,744.35,83.4,2.4,0.1,47.7,0.75
424,Parrotia persica,11,482.32,25.4,1.2,0,30.6,0.42
546,Parrotia persica,18,744.35,83.4,2.4,0.1,89.5,1.07
616,Carpinus betulus,11,482.32,32.2,1.9,0,20.2,0.45
617,Cupressus,19,766.49,260.1,8.4,0,6.5,1.39
618,Cupressus,19,766.49,260.1,8.4,0,6.9,1.4
619,Cupressus,19,766.49,260.1,8.4,0,6.9,1.4
620,Cupressus,19,766.49,260.1,8.4,0,6.9,1.4
621,Cupressus,19,766.49,260,8.4,0,5.3,1.38
622,Cupressus,19,766.49,260,8.4,0,5.7,1.39
623,Carpinus betulus,11,482.32,32.2,1.9,0,17.8,0.44
624,Carpinus betulus,12,512,38.5,2.1,0,32.6,0.58
625,Prunus avium,12,499.72,33.1,2.1,0,20.8,0.5
626,Ostrya carpinifolia,20,842.45,121.7,4.6,0.1,65,1.23
627,Ostrya carpinifolia,25,1132.87,209.2,6.3,0.1,85,1.65
628,Ostrya carpinifolia,18,744.35,94.3,4,0,29.1,0.86
629,Ostrya carpinifolia,25,1132.87,209.2,6.3,0.1,85,1.65
630,Celtis australis,16,667.22,19.6,0.8,0.1,63.7,0.62
631,Celtis australis,16,667.22,19.6,0.8,0.1,82.7,0.76
632,Robinia pseudoacacia,80,5671.56,2024.3,25.5,0.7,592.5,8.57
633,Ostrya carpinifolia,24,1069.62,189.5,6,0.1,99.3,1.71
634,Ostrya carpinifolia,18,744.35,94.3,4,0,31.3,0.87
635,Robinia pseudoacacia,65,3942.81,1205.3,18.6,0.3,243.5,4.82
636,Celtis australis,166,22794.92,1075.4,0.1,0.2,167.2,1.28
637,Celtis australis,14,585.59,15.6,0.8,0.1,49.8,0.5
638,Celtis australis,16,667.22,19.6,0.8,0.1,79.8,0.74
639,Betula pendula,16,645.17,56.8,3.6,0,35.1,0.84
640,Betula pendula,28,1287.31,225.8,8.1,0.2,141.4,2.36
641,Betula pendula,18,727.87,75.9,4.2,0.1,51,1.07
642,Robinia pseudoacacia,50,2484.96,629.1,12.5,0.5,391.4,4.96
643,Robinia pseudoacacia,42,1862.95,409.9,9.7,0.5,412.5,4.66
644,Celtis australis,19,810.06,26.3,1,0.1,52.6,0.55
645,Celtis australis,17,712.11,21.7,0.9,0.1,46,0.49
646,Celtis australis,17,712.11,21.7,0.9,0.1,50.6,0.52
647,Celtis australis,15,625.04,17.5,0.8,0.1,48.4,0.49
651,Sorbus,5,69.67,5.7,0.9,0,1.2,0.15
670,Robinia pseudoacacia,22,781.18,86.3,3.8,0.3,232.9,2.36
671,Acer platanoides,18,755.18,92.4,4.5,0.1,89.2,1.4
672,Acer platanoides,11,483.19,26.2,2.2,0,15.4,0.47
673,Acer platanoides,25,1158.47,186.9,6.7,0.4,343.7,3.67
674,Picea abies,32,1707.61,268.4,3.8,0.4,283,2.74
675,Acer platanoides,28,1371.5,239,7.7,0.3,243.1,3.07
691,Quercus robur,32,1958.78,319.9,8,0.6,458.1,4.74
703,Pinus nigra,38,2209.17,234.7,4.3,0.4,309.3,3.01
