,Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude
1,1,Acer pseudoplatanus,8,179.43,12,1.92,1.1,0.17,0,0.01,,,5.1,0.03,,0.21,2.8,3.5,1,1.5,1.8,3.5,0.2,46.0515991422288,11.0720136081772
2,2,Acer pseudoplatanus,8,179.43,12.9,2.07,1.1,0.18,0,0.01,,,6.1,0.03,,0.23,3,5,1.5,1.5,1.8,4.2,0.3,46.051540630593,11.0721083702989
3,3,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,5.8,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4,0.3,46.0516684403271,11.0719593225818
4,4,Acer pseudoplatanus,11,482.46,25.7,4.13,1.6,0.26,0,0.02,,,10.3,0.05,,0.34,4.3,5,1.5,2.5,4.9,7.1,0.5,46.063778420757,11.1501696807365
5,7,Cupressus,25,1110.29,448.2,72.02,11.1,1.78,0,0.02,,,9.6,0.05,,1.85,29.5,8,2.4,1.5,1.8,6.6,1.5,46.0523047221929,11.0715502013858
6,8,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,6.1,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4.2,0.3,46.052001991059,11.071766133536
7,9,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,6.9,0.04,,0.28,3.8,4,1.2,2,3.1,4.8,0.3,46.0518738913086,11.0718567421775
8,10,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,8.4,0.04,,0.29,3.8,4,1.2,2,3.1,5.8,0.4,46.052135195521,11.0716719666143
9,11,Acer pseudoplatanus,9,227.09,15.5,2.49,1.2,0.2,0,0.01,,,5.7,0.03,,0.24,3.3,3.5,1,1.5,1.8,3.9,0.3,46.0525510976828,11.0714391951951
10,12,Acer pseudoplatanus,10,280.36,20.9,3.35,1.5,0.23,0,0.02,,,9,0.05,,0.3,3.9,5,1.5,2,3.1,6.2,0.4,46.0524689762776,11.0714710266932
11,13,Acer platanoides,10,289.26,21.3,3.42,1.9,0.31,0,0.03,,,13.5,0.07,,0.41,5.2,5,1.5,2.5,4.9,9.3,0.5,46.0519538401751,11.0718007862423
12,14,Acer pseudoplatanus,8,179.43,12.3,1.97,1.1,0.17,0,0.02,,,6.8,0.04,,0.22,2.9,4,1.2,2,3.1,4.7,0.3,46.0524038439188,11.0714990983531
13,15,Acer platanoides,9,234.3,16.9,2.72,1.7,0.28,0,0.02,,,9.7,0.05,,0.35,4.6,5,1.5,2,3.1,6.7,0.4,46.0522378077959,11.071592167354
14,16,Acer pseudoplatanus,9,227.09,15.1,2.43,1.2,0.19,0,0.01,,,4.2,0.02,,0.22,3.2,3,0.9,1.5,1.8,2.9,0.2,46.0517487193923,11.0719347916164
15,17,Acer pseudoplatanus,10,280.36,20,3.22,1.4,0.23,0,0.02,,,6.4,0.03,,0.27,3.8,4,1.2,2,3.1,4.4,0.3,46.0513787525744,11.0722649328788
16,18,Acer pseudoplatanus,9,227.09,16.2,2.61,1.3,0.2,0,0.01,,,6.1,0.03,,0.25,3.4,4.5,1.3,1.5,1.8,4.2,0.3,46.0482013294225,11.1434523159693
17,36,Sophora japonica,15,615.01,33.5,5.39,1.6,0.26,0,0.01,,,5.8,0.03,,0.3,4.3,5,1.5,2,3.1,4,0.5,46.0513290402671,11.1452291519417
18,37,Tilia cordata,8,230.7,8.9,1.42,0.8,0.13,0,0.03,,,13.8,0.07,,0.24,2.2,4.5,1.3,3,7.1,9.5,0.7,46.0515078437797,11.1457199288109
19,38,Tilia cordata,11,489.05,18.8,3.02,1.3,0.2,0,0.05,,,19.3,0.1,,0.35,3.4,5,1.5,3,7.1,13.3,1,46.0515319829963,11.1458291908865
20,39,Tilia cordata,11,489.05,18.8,3.02,1.3,0.2,0,0.04,,,17.1,0.09,,0.33,3.4,5,1.5,3,7.1,11.8,0.9,46.0513925217481,11.1453235203627
21,40,Tilia cordata,7,176.63,6.5,1.04,0.7,0.11,0,0.02,,,7.1,0.04,,0.16,1.8,4,1.2,2,3.1,4.9,0.4,46.0439938016151,11.1056029967551
22,70,Tilia cordata,18,827.99,60,9.64,2.4,0.39,0.1,0.25,,,103.6,0.53,,1.17,6.5,6,1.8,6,28.3,71.4,5.3,46.0427661240302,11.1057500793054
23,71,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0.1,0.25,,,106.3,0.55,,1.17,6,7,2.1,6,28.3,73.3,5.5,46.0426679754741,11.1057524234372
24,72,Tilia cordata,17,769.55,52.4,8.43,2.3,0.36,0.1,0.24,,,100.2,0.52,,1.12,6,7,2.1,6,28.3,69.1,5.2,46.0425777917964,11.1057523561081
