,Tree ID,Species Name,Oxygen Production
,,,(kg/yr)
,1,Acer pseudoplatanus,2.80
,2,Acer pseudoplatanus,3.00
,3,Acer pseudoplatanus,3.40
,4,Acer pseudoplatanus,4.30
,7,Cupressus,29.50
,8,Acer pseudoplatanus,3.40
,9,Acer pseudoplatanus,3.80
,10,Acer pseudoplatanus,3.80
,11,Acer pseudoplatanus,3.30
,12,Acer pseudoplatanus,3.90
,13,Acer platanoides,5.20
,14,Acer pseudoplatanus,2.90
,15,Acer platanoides,4.60
,16,Acer pseudoplatanus,3.20
,17,Acer pseudoplatanus,3.80
,18,Acer pseudoplatanus,3.40
,36,Sophora japonica,4.30
,37,Tilia cordata,2.20
,38,Tilia cordata,3.40
,39,Tilia cordata,3.40
,40,Tilia cordata,1.80
,70,Tilia cordata,6.50
,71,Tilia cordata,6.00
,72,Tilia cordata,6.00
,73,Tilia cordata,4.70
,80,Acer pseudoplatanus,1.70
,81,Acer pseudoplatanus,5.00
,82,Acer pseudoplatanus,5.00
,83,Acer pseudoplatanus,3.40
,84,Acer pseudoplatanus,3.90
,85,Acer pseudoplatanus,3.90
,86,Acer pseudoplatanus,1.30
,87,Acer pseudoplatanus,3.90
,88,Acer pseudoplatanus,4.80
,89,Acer pseudoplatanus,0.60
,90,Acer pseudoplatanus,1.30
,91,Acer campestre,1.30
,92,Acer campestre,2.30
,93,Acer campestre,2.70
,94,Acer tataricum ssp. ginnala,2.50
,95,Acer tataricum ssp. ginnala,2.50
,96,Fagus,5.30
,97,Fagus,5.30
,99,Fagus,6.30
,100,Fagus,6.30
,101,Fagus,6.30
,102,Fagus,6.30
,103,Fagus,6.30
,104,Fagus,5.30
,107,Acer campestre,1.50
,108,Acer opalus,4.20
,114,Tilia cordata,2.20
,115,Tilia cordata,3.00
,116,Tilia cordata,2.20
,117,Tilia cordata,2.20
,118,Tilia cordata,3.40
,119,Tilia cordata,3.40
,120,Tilia cordata,3.40
,121,Tilia cordata,2.20
,122,Tilia cordata,2.20
,123,Sophora japonica,2.50
,124,Sophora japonica,2.50
,135,Tilia cordata,1.80
,137,Tilia cordata,1.80
,138,Tilia cordata,3.40
,139,Tilia cordata,3.40
,140,Tilia cordata,2.60
,141,Tilia cordata,3.00
,142,Tilia cordata,3.00
,143,Tilia cordata,3.00
,144,Tilia cordata,3.00
,145,Tilia cordata,3.40
,146,Tilia cordata,3.40
,147,Tilia cordata,3.40
,148,Tilia cordata,3.40
,149,Tilia cordata,3.40
,150,Tilia cordata,3.40
,151,Tilia cordata,3.40
,152,Tilia cordata,3.40
,170,Sorbus,14.90
,171,Sorbus,14.90
,172,Sorbus,14.90
,173,Sorbus,14.90
,174,Sorbus,8.30
,180,Tilia cordata,4.20
,181,Tilia cordata,4.20
,182,Tilia cordata,7.00
,183,Cupressus,16.30
,184,Cupressus,16.30
,185,Cupressus,16.30
,186,Carpinus betulus,5.00
,187,Carpinus betulus,5.00
,188,Carpinus betulus,5.00
,189,Carpinus betulus,4.50
,307,Tilia cordata,3.00
,308,Tilia cordata,3.00
,309,Tilia cordata,3.00
,310,Tilia cordata,3.00
,311,Tilia cordata,3.00
,312,Tilia cordata,3.00
,330,Prunus avium,19.00
,331,Fraxinus,10.60
,332,Fraxinus,7.90
,333,Fraxinus,7.90
,396,Prunus serrulata,10.10
,397,Prunus serrulata,19.00
,398,Prunus serrulata,15.90
,415,Parrotia persica,3.20
,416,Parrotia persica,6.50
,417,Parrotia persica,6.50
,418,Parrotia persica,6.50
,419,Parrotia persica,3.20
,420,Parrotia persica,5.00
,422,Parrotia persica,5.00
,423,Parrotia persica,6.50
,424,Parrotia persica,3.20
,546,Parrotia persica,6.50
,616,Carpinus betulus,5.00
,617,Cupressus,22.30
,618,Cupressus,22.30
,619,Cupressus,22.30
,620,Cupressus,22.30
,621,Cupressus,22.30
,622,Cupressus,22.30
,623,Carpinus betulus,5.00
,624,Carpinus betulus,5.60
,625,Prunus avium,5.60
,626,Ostrya carpinifolia,12.30
,627,Ostrya carpinifolia,16.80
,628,Ostrya carpinifolia,10.60
,629,Ostrya carpinifolia,16.80
,630,Celtis australis,2.30
,631,Celtis australis,2.30
,632,Robinia pseudoacacia,68.10
,633,Ostrya carpinifolia,15.90
,634,Ostrya carpinifolia,10.60
,635,Robinia pseudoacacia,49.60
,636,Celtis australis,0.30
,637,Celtis australis,2.10
,638,Celtis australis,2.30
,639,Betula pendula,9.50
,640,Betula pendula,21.50
,641,Betula pendula,11.30
,642,Robinia pseudoacacia,33.40
,643,Robinia pseudoacacia,25.80
,644,Celtis australis,2.60
,645,Celtis australis,2.40
,646,Celtis australis,2.40
,647,Celtis australis,2.20
,651,Sorbus,2.40
,670,Robinia pseudoacacia,10.10
,671,Acer platanoides,12.10
,672,Acer platanoides,5.80
,673,Acer platanoides,17.90
,674,Picea abies,10.00
,675,Acer platanoides,20.50
,691,Quercus robur,21.40
,703,Pinus nigra,11.30
,723,Pyrus calleryana,7.50
,724,Pyrus calleryana,6.90
,725,Pyrus calleryana,6.90
,726,Pyrus calleryana,5.00
,727,Liriodendron tulipifera,8.00
,728,Liriodendron tulipifera,7.30
,729,Liriodendron tulipifera,8.60
,730,Liriodendron tulipifera,8.60
,731,Liriodendron tulipifera,8.60
,732,Acer campestre,6.30
,733,Liriodendron tulipifera,5.50
,736,Pinus nigra,12.40
,739,Liriodendron tulipifera,10.00
,746,Acer,12.20
,747,Juglans,12.60
,748,Acacia,3.30
,911,Crataegus,2.90
,912,Crataegus,2.90
,913,Crataegus,3.30
,914,Crataegus,3.30
,915,Crataegus,3.30
,916,Crataegus,3.30
,917,Crataegus,2.90
,918,Crataegus,3.30
,920,Crataegus,2.40
,921,Crataegus,2.40
,922,Crataegus,2.40
,923,Crataegus,2.40
,924,Crataegus,2.40
,925,Crataegus,2.40
,926,Crataegus,2.40
,927,Crataegus,2.40
,928,Crataegus,2.40
,929,Koelreuteria paniculata,6.70
,930,Koelreuteria paniculata,5.60
,931,Celtis australis,2.20
,932,Celtis australis,2.10
,933,Celtis australis,2.10
,934,Celtis australis,2.10
,935,Celtis australis,2.10
,936,Celtis australis,2.00
,938,Pinus,34.90
,946,Tilia cordata,5.10
,947,Tilia cordata,5.10
,948,Tilia cordata,9.60
,949,Abies nordmanniana,18.50
,962,Celtis australis,4.20
,963,Celtis australis,3.70
,964,Celtis australis,3.70
,973,Prunus cerasifera,20.70
,985,Cupressus,18.70
,986,Cupressus,40.20
,987,Cupressus,52.20
,988,Sorbus,4.70
,989,Sorbus aucuparia,3.90
,1008,Platanus x hispanica,30.30
,1018,Corylus colurna,16.30
,1019,Corylus colurna,23.70
,1038,Prunus serrulata,7.50
,1039,Prunus serrulata,5.20
,1042,Prunus serrulata,11.00
,1043,Prunus serrulata,14.80
,1049,Pyrus calleryana,5.00
,1050,Pyrus calleryana,7.50
,1051,Pyrus calleryana,3.30
,1052,Pyrus calleryana,6.20
,1053,Pyrus calleryana,5.60
,1054,Pyrus calleryana,6.90
,1055,Pyrus calleryana,7.50
,1056,Pyrus calleryana,5.00
,1057,Pyrus calleryana,5.00
,1058,Pyrus calleryana,6.20
,1059,Pyrus calleryana,6.20
,1060,Pyrus calleryana,5.00
,1061,Pyrus calleryana,8.20
,1062,Pyrus calleryana,7.50
,1063,Pyrus calleryana,3.30
,1064,Pyrus calleryana,5.60
,1065,Pyrus calleryana,5.60
,1066,Pyrus calleryana,7.50
,1067,Pyrus calleryana,7.50
,1068,Pyrus calleryana,5.00
,1069,Pyrus calleryana,5.00
,1070,Pyrus calleryana,9.70
,1071,Pyrus calleryana,3.30
,1072,Pyrus calleryana,2.80
,1073,Pyrus calleryana,8.90
,1074,Pyrus calleryana,5.60
,1110,Tilia cordata,6.50
,1111,Tilia cordata,6.50
,1112,Tilia cordata,6.50
,1113,Tilia cordata,6.50
,1114,Tilia cordata,6.50
,1115,Tilia cordata,5.10
,1116,Tilia cordata,5.10
,1117,Tilia cordata,5.10
,1118,Tilia cordata,5.10
,1119,Tilia cordata,7.00
,1120,Tilia cordata,7.00
,1121,Tilia cordata,7.00
,1122,Tilia cordata,4.70
,1123,Acer campestre,4.80
,1124,Tilia cordata,5.10
,1125,Tilia cordata,3.00
,1126,Tilia cordata,6.50
,1127,Tilia cordata,5.10
,1128,Tilia cordata,5.10
,1129,Tilia cordata,5.10
,1130,Tilia cordata,6.50
,1131,Tilia cordata,6.50
